iter	Passed	Remaining
0	145	145023
1	147	73697
2	149	49822
3	152	37896
4	154	30798
5	157	26031
6	159	22600
7	161	20054
8	163	18028
9	165	16402
10	167	15098
11	170	14016
12	172	13067
13	173	12239
14	175	11516
15	177	10899
16	178	10348
17	181	9907
18	183	9458
19	185	9065
20	186	8686
21	187	8343
22	189	8036
23	190	7751
24	192	7520
25	194	7268
26	194	7027
27	196	6826
28	198	6646
29	199	6455
30	201	6285
31	202	6132
32	204	5992
33	206	5866
34	207	5720
35	208	5582
36	210	5469
37	211	5360
38	212	5242
39	213	5135
40	215	5044
41	217	4950
42	218	4871
43	220	4796
44	221	4706
45	223	4633
46	225	4564
47	226	4499
48	228	4427
49	229	4362
50	231	4299
51	232	4244
52	234	4194
53	236	4141
54	237	4085
55	239	4035
56	241	3989
57	242	3941
58	244	3901
59	246	3861
60	248	3823
61	250	3786
62	251	3744
63	253	3713
64	255	3682
65	257	3642
66	259	3609
67	260	3575
68	262	3544
69	264	3519
70	266	3486
71	268	3455
72	269	3426
73	271	3401
74	273	3373
75	275	3349
76	277	3321
77	279	3301
78	281	3278
79	286	3289
80	287	3266
81	289	3236
82	289	3201
83	290	3172
84	292	3143
85	293	3115
86	294	3094
87	296	3073
88	297	3044
89	298	3016
90	299	2989
91	300	2962
92	300	2935
93	301	2908
94	302	2883
95	303	2859
96	304	2835
97	305	2811
98	306	2790
99	307	2770
100	310	2765
101	314	2766
102	315	2747
103	316	2726
104	317	2705
105	318	2685
106	319	2665
107	320	2646
108	321	2628
109	323	2613
110	325	2608
111	326	2589
112	327	2570
113	328	2551
114	329	2534
115	330	2517
116	331	2499
117	332	2482
118	333	2466
119	334	2449
120	335	2434
121	336	2419
122	337	2405
123	339	2396
124	340	2382
125	341	2366
126	341	2349
127	342	2334
128	343	2321
129	344	2307
130	345	2292
131	346	2278
132	347	2265
133	348	2252
134	349	2239
135	350	2228
136	352	2219
137	353	2209
138	354	2196
139	355	2184
140	356	2171
141	357	2157
142	357	2144
143	358	2132
144	359	2121
145	360	2109
146	361	2098
147	362	2088
148	364	2079
149	365	2068
150	366	2059
151	370	2069
152	373	2067
153	374	2057
154	375	2047
155	376	2038
156	377	2029
157	379	2019
158	380	2010
159	381	2004
160	385	2008
161	387	2004
162	388	1995
163	389	1985
164	390	1977
165	391	1969
166	392	1959
167	393	1950
168	395	1942
169	396	1934
170	398	1933
171	400	1925
172	401	1917
173	401	1908
174	402	1899
175	403	1890
176	404	1882
177	405	1874
178	406	1865
179	407	1857
180	408	1849
181	409	1841
182	411	1835
183	412	1829
184	413	1821
185	414	1813
186	415	1806
187	416	1798
188	417	1790
189	418	1783
190	419	1775
191	420	1769
192	421	1763
193	422	1756
194	423	1750
195	425	1744
196	428	1746
197	432	1750
198	433	1746
199	435	1740
200	436	1735
201	438	1730
202	439	1724
203	441	1721
204	442	1717
205	443	1711
206	444	1704
207	446	1698
208	446	1691
209	448	1686
210	449	1680
211	450	1674
212	451	1667
213	452	1662
214	453	1657
215	455	1651
216	455	1645
217	456	1638
218	457	1632
219	458	1625
220	459	1619
221	460	1613
222	461	1606
223	462	1601
224	463	1596
225	464	1591
226	465	1585
227	466	1579
228	467	1573
229	469	1570
230	471	1571
231	473	1566
232	474	1561
233	475	1555
234	476	1550
235	477	1546
236	478	1541
237	480	1537
238	481	1532
239	482	1529
240	484	1526
241	486	1523
242	487	1518
243	488	1513
244	489	1508
245	490	1503
246	491	1498
247	492	1494
248	494	1489
249	495	1485
250	496	1480
251	497	1476
252	498	1472
253	499	1468
254	500	1463
255	501	1458
256	502	1454
257	503	1449
258	504	1444
259	505	1439
260	506	1434
261	507	1429
262	508	1425
263	509	1420
264	510	1415
265	511	1411
266	512	1407
267	514	1406
268	516	1402
269	516	1397
270	517	1393
271	518	1389
272	519	1384
273	520	1380
274	522	1376
275	523	1372
276	524	1368
277	525	1364
278	526	1359
279	527	1356
280	529	1353
281	530	1349
282	530	1344
283	531	1340
284	532	1335
285	533	1331
286	534	1327
287	535	1323
288	536	1318
289	537	1315
290	538	1311
291	539	1307
292	539	1303
293	540	1298
294	542	1295
295	543	1292
296	544	1289
297	545	1285
298	546	1281
299	547	1277
300	548	1273
301	549	1269
302	550	1265
303	551	1261
304	551	1257
305	552	1253
306	553	1249
307	554	1246
308	555	1242
309	556	1239
310	558	1237
311	559	1233
312	560	1230
313	561	1226
314	562	1222
315	563	1218
316	563	1215
317	564	1211
318	565	1207
319	566	1203
320	567	1200
321	568	1196
322	569	1192
323	569	1189
324	571	1185
325	572	1182
326	573	1180
327	574	1176
328	575	1173
329	576	1169
330	576	1165
331	577	1162
332	578	1159
333	579	1155
334	580	1152
335	581	1148
336	582	1145
337	582	1141
338	583	1138
339	584	1134
340	585	1131
341	586	1128
342	587	1125
343	588	1122
344	590	1120
345	591	1117
346	591	1113
347	592	1110
348	593	1107
349	594	1104
350	595	1101
351	596	1098
352	597	1095
353	598	1092
354	599	1089
355	600	1086
356	601	1083
357	603	1082
358	604	1079
359	605	1076
360	606	1073
361	607	1070
362	608	1068
363	610	1066
364	611	1063
365	612	1060
366	613	1057
367	614	1054
368	615	1052
369	616	1049
370	618	1049
371	619	1046
372	620	1043
373	621	1041
374	622	1038
375	623	1035
376	624	1032
377	625	1029
378	626	1027
379	627	1024
380	628	1021
381	629	1018
382	630	1016
383	632	1013
384	633	1011
385	634	1009
386	635	1006
387	636	1003
388	637	1000
389	638	998
390	638	995
391	639	992
392	640	989
393	641	987
394	642	984
395	643	981
396	644	978
397	645	976
398	646	973
399	647	971
400	648	968
401	649	965
402	650	962
403	650	960
404	651	957
405	652	955
406	653	952
407	654	949
408	655	946
409	656	944
410	656	941
411	657	938
412	658	936
413	659	933
414	660	931
415	662	929
416	663	927
417	664	925
418	665	922
419	666	919
420	667	917
421	668	915
422	669	912
423	670	910
424	671	908
425	672	906
426	673	903
427	674	901
428	675	899
429	677	897
430	678	895
431	679	893
432	680	890
433	681	888
434	682	886
435	683	883
436	684	881
437	684	878
438	685	876
439	686	873
440	687	871
441	688	868
442	689	866
443	690	864
444	691	861
445	692	860
446	693	857
447	694	855
448	695	853
449	696	850
450	697	848
451	698	846
452	699	844
453	700	842
454	701	840
455	702	838
456	703	835
457	704	833
458	706	832
459	707	830
460	709	829
461	710	827
462	711	824
463	712	822
464	713	820
465	714	819
466	715	817
467	717	815
468	718	813
469	719	811
470	720	809
471	721	807
472	722	805
473	723	802
474	724	800
475	724	797
476	725	795
477	726	793
478	727	791
479	728	789
480	729	787
481	730	784
482	731	782
483	732	780
484	733	778
485	733	776
486	734	773
487	735	771
488	736	769
489	737	767
490	738	765
491	738	762
492	739	760
493	740	758
494	741	756
495	742	754
496	743	752
497	744	750
498	745	748
499	745	745
500	746	743
501	747	741
502	748	739
503	749	737
504	750	735
505	751	733
506	752	731
507	752	729
508	753	727
509	754	724
510	755	722
511	756	720
512	757	718
513	758	716
514	758	714
515	759	712
516	760	710
517	761	708
518	762	706
519	763	704
520	764	702
521	765	700
522	766	698
523	767	696
524	767	694
525	768	692
526	769	690
527	770	688
528	771	686
529	772	684
530	773	682
531	773	680
532	774	678
533	775	676
534	776	674
535	777	672
536	777	670
